location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name
Aruba,2020-05-15,101,0,3,0,945.9939999999999,0.0,28.099,0.0,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,79.37,11.62,1.9,24.7,0.7,NA,North America
Afghanistan,2020-05-15,5339,113,136,6,137.149,2.903,3.4939999999999998,0.154,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,1.9,24.7,0.5,AS,Asia
Angola,2020-05-15,48,3,2,0,1.46,0.091,0.061,0.0,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,276.045,3.94,1.9,24.7,0.7,AF,Africa
Anguilla,2020-05-15,3,0,0,0,199.97299999999998,0.0,0.0,0.0,15002.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,NA,North America
Albania,2020-05-15,898,18,31,0,312.04400000000004,6.255,10.772,0.0,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,304.195,10.08,7.1,51.2,2.89,EU,Europe
Andorra,2020-05-15,761,1,49,0,9849.22,12.942,634.181,0.0,77265.0,163.755,32.4,6.933,1.726,661.24,109.135,7.97,29.0,37.8,0.7,EU,Europe
United Arab Emirates,2020-05-15,21084,698,208,2,2131.764,70.57300000000001,21.03,0.20199999999999999,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,317.84,17.26,1.2,37.4,1.2,AS,Asia
Argentina,2020-05-15,7121,255,353,24,157.559,5.642,7.81,0.531,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5.0,SA,South America
Armenia,2020-05-15,3860,142,49,1,1302.631,47.92100000000001,16.535999999999998,0.337,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,341.01,7.11,1.5,52.1,4.2,AS,Asia
Antigua and Barbuda,2020-05-15,25,0,3,0,255.29,0.0,30.635,0.0,97928.0,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,1.9,24.7,3.8,NA,North America
Australia,2020-05-15,6989,14,98,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Austria,2020-05-15,16005,41,626,2,1777.07,4.552,69.506,0.222,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,145.183,6.35,28.4,30.9,7.37,EU,Europe
Azerbaijan,2020-05-15,2879,121,35,0,283.948,11.934000000000001,3.452,0.0,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,559.812,7.11,0.3,42.5,4.7,AS,Asia
Burundi,2020-05-15,27,0,1,0,2.271,0.0,0.084,0.0,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,293.068,6.05,1.9,24.7,0.8,AF,Africa
Belgium,2020-05-15,54288,307,8903,60,4684.193,26.489,768.188,5.1770000000000005,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,114.898,4.29,25.1,31.4,5.64,EU,Europe
Benin,2020-05-15,339,12,2,0,27.963,0.99,0.165,0.0,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,235.84799999999998,0.99,0.6,12.3,0.5,AF,Africa
Bonaire Sint Eustatius and Saba,2020-05-15,6,0,0,0,228.824,0.0,0.0,0.0,26221.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,SA,South America
Burkina Faso,2020-05-15,773,0,51,0,36.98,0.0,2.44,0.0,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,269.048,2.42,1.6,23.9,0.4,AF,Africa
Bangladesh,2020-05-15,18863,1041,283,14,114.537,6.321000000000001,1.7180000000000002,0.085,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,298.003,8.38,1.0,44.7,0.8,AS,Asia
Bulgaria,2020-05-15,2100,31,99,3,302.226,4.461,14.248,0.43200000000000005,6948445.0,65.18,44.7,20.801,13.272,18563.307,424.68800000000005,5.81,30.1,44.4,7.454,EU,Europe
Bahrain,2020-05-15,6198,382,10,0,3642.491,224.497,5.877000000000001,0.0,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,5.8,37.6,2.0,AS,Asia
Bahamas,2020-05-15,96,2,11,0,244.12099999999998,5.086,27.971999999999998,0.0,393248.0,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,2.9,NA,North America
Bosnia and Herzegovina,2020-05-15,2216,35,123,3,675.442,10.668,37.491,0.914,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,329.635,10.08,30.2,47.7,3.5,EU,Europe
Belarus,2020-05-15,26772,947,151,5,2833.219,100.219,15.98,0.529,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,443.129,5.18,10.5,46.1,11.0,EU,Europe
Belize,2020-05-15,18,0,2,0,45.269,0.0,5.03,0.0,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,176.957,17.11,1.9,24.7,1.3,NA,North America
Bermuda,2020-05-15,122,1,9,1,1959.116,16.058,144.525,16.058,62273.0,1308.82,32.4,6.933,1.726,50669.315,139.547,13.0,1.9,24.7,0.7,NA,North America
Bolivia,2020-05-15,3372,224,152,10,288.871,19.19,13.020999999999999,0.857,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,204.299,6.89,1.9,24.7,1.1,SA,South America
Brazil,2020-05-15,202918,13944,13993,844,954.6410000000001,65.6,65.831,3.971,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,17.9,2.2,SA,South America
Barbados,2020-05-15,85,0,7,0,295.785,0.0,24.359,0.0,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,170.05,13.57,1.9,14.5,5.8,NA,North America
Brunei,2020-05-15,141,0,1,0,322.298,0.0,2.286,0.0,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,201.285,12.79,2.0,30.9,2.7,AS,Asia
Bhutan,2020-05-15,20,5,0,0,25.92,6.48,0.0,0.0,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,217.06599999999997,9.75,1.9,24.7,1.7,AS,Asia
Botswana,2020-05-15,24,0,1,0,10.206,0.0,0.425,0.0,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,237.372,4.81,5.7,34.4,1.8,AF,Africa
Central African Republic,2020-05-15,221,24,0,0,45.758,4.968999999999999,0.0,0.0,4829764.0,7.479,18.3,3.655,2.251,661.24,435.727,6.1,1.9,24.7,1.0,AF,Africa
Canada,2020-05-15,73401,1123,5472,168,1944.8010000000002,29.755,144.984,4.4510000000000005,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,2.5,NA,North America
Switzerland,2020-05-15,30380,50,1588,25,3510.265,5.777,183.486,2.889,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.73899999999999,5.59,22.6,28.9,4.53,EU,Europe
Chile,2020-05-15,37040,2659,358,12,1937.6229999999998,139.097,18.727999999999998,0.628,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,2.11,SA,South America
China,2020-05-15,84029,5,4637,0,58.381,0.003,3.222,0.0,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,261.899,9.74,1.9,48.4,4.34,AS,Asia
Ivory Coast,2020-05-15,1971,59,24,0,74.721,2.237,0.91,0.0,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,303.74,2.42,1.9,24.7,0.7,AF,Africa
Cameroon,2020-05-15,2954,154,139,3,111.279,5.801,5.236000000000001,0.113,26545864.0,50.885,18.8,3.165,1.919,3364.926,244.66099999999997,7.2,1.9,24.7,1.3,AF,Africa
Democratic Republic of the Congo,2020-05-15,1298,56,50,0,14.493,0.625,0.5579999999999999,0.0,89561404.0,35.879,17.0,3.02,1.745,808.133,318.949,6.1,1.9,24.7,0.7,AF,Africa
Congo,2020-05-15,391,50,15,4,70.858,9.061,2.718,0.725,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,344.094,7.2,1.7,52.3,0.7,AF,Africa
Colombia,2020-05-15,13610,680,525,16,267.47700000000003,13.364,10.318,0.314,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,124.24,7.44,4.7,13.5,1.71,SA,South America
Comoros,2020-05-15,17,0,1,0,19.549,0.0,1.15,0.0,869595.0,437.352,20.4,2.963,1.726,1413.89,261.51599999999996,11.88,4.4,23.6,2.2,AF,Africa
Cape Verde,2020-05-15,315,26,2,0,566.559,46.763999999999996,3.597,0.0,555988.0,135.58,25.7,4.46,3.437,6222.554,182.21900000000002,2.42,2.1,16.5,2.1,AF,Africa
Costa Rica,2020-05-15,830,15,8,1,162.933,2.945,1.57,0.196,5094114.0,96.079,33.6,9.468,5.694,15524.995,137.97299999999998,8.78,6.4,17.4,1.13,NA,North America
Cuba,2020-05-15,1830,20,79,0,161.566,1.766,6.975,0.0,11326616.0,110.40799999999999,43.1,14.738,9.719,661.24,190.968,8.27,17.1,53.3,5.2,NA,North America
Curacao,2020-05-15,16,0,1,0,97.50200000000001,0.0,6.093999999999999,0.0,164100.0,362.644,41.7,16.367,10.068,661.24,79.37,11.62,1.9,24.7,0.7,SA,South America
Cayman Islands,2020-05-15,93,8,1,0,1415.094,121.729,15.216,0.0,65720.0,256.496,32.4,6.933,1.726,49903.029,79.37,13.22,1.9,24.7,0.7,NA,North America
Cyprus,2020-05-15,907,2,17,0,1035.508,2.283,19.409000000000002,0.0,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,141.171,9.24,19.6,52.7,3.4,AS,Asia
Czech Republic,2020-05-15,8351,82,293,3,779.813,7.657,27.36,0.28,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,227.485,6.82,30.5,38.3,6.63,EU,Europe
Germany,2020-05-15,173152,913,7824,101,2066.649,10.897,93.383,1.205,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,156.139,8.31,28.2,33.1,8.0,EU,Europe
Djibouti,2020-05-15,1284,16,3,0,1299.593,16.194000000000003,3.036,0.0,988002.0,41.285,25.4,4.213,2.38,2705.406,258.03700000000003,6.05,1.7,24.5,1.4,AF,Africa
Dominica,2020-05-15,16,0,0,0,222.25,0.0,0.0,0.0,71991.0,98.56700000000001,32.4,6.933,1.726,9673.367,227.37599999999998,11.62,1.9,24.7,3.8,NA,North America
Denmark,2020-05-15,10713,46,537,4,1849.555,7.942,92.711,0.691,5792203.0,136.52,42.3,19.677,12.325,46682.515,114.76700000000001,6.41,19.3,18.8,2.5,EU,Europe
Dominican Republic,2020-05-15,11320,124,422,13,1043.52,11.431,38.902,1.198,10847904.0,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,1.6,NA,North America
Algeria,2020-05-15,6442,189,529,7,146.906,4.31,12.064,0.16,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,278.36400000000003,6.73,0.7,30.4,1.9,AF,Africa
Ecuador,2020-05-15,30502,16,2338,4,1728.838,0.907,132.517,0.22699999999999998,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,140.44799999999998,5.55,2.0,12.3,1.5,SA,South America
Egypt,2020-05-15,10829,398,571,15,105.82,3.889,5.58,0.147,102334403.0,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,0.2,50.1,1.6,AF,Africa
Eritrea,2020-05-15,39,0,0,0,10.997,0.0,0.0,0.0,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,311.11,6.05,0.2,11.4,0.7,AF,Africa
Western Sahara,2020-05-15,6,0,0,0,10.045,0.0,0.0,0.0,597330.0,0.13699999999999998,28.4,6.933,1.38,661.24,79.37,2.42,1.9,24.7,0.7,AF,Africa
Estonia,2020-05-15,1758,7,62,1,1325.253,5.277,46.738,0.754,1326539.0,31.033,42.7,19.452,13.491,29481.252,255.56900000000002,4.02,24.5,39.3,4.69,EU,Europe
Ethiopia,2020-05-15,272,9,5,0,2.366,0.078,0.043,0.0,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,182.63400000000001,7.47,0.4,8.5,0.3,AF,Africa
Finland,2020-05-15,6145,91,287,3,1109.062,16.424,51.798,0.541,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,18.3,22.6,3.28,EU,Europe
Fiji,2020-05-15,18,0,0,0,20.079,0.0,0.0,0.0,896444.0,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,2.3,OC,Oceania
Falkland Islands,2020-05-15,13,0,0,0,3732.415,0.0,0.0,0.0,3483.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,SA,South America
France,2020-05-15,141356,622,27425,351,2165.595,9.529,420.155,5.377000000000001,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,5.98,EU,Europe
Denmark,2020-05-15,187,0,0,0,3826.87,0.0,0.0,0.0,48865.0,35.308,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Gabon,2020-05-15,1104,100,10,1,496.017,44.928999999999995,4.493,0.449,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,1.9,24.7,6.3,AF,Africa
United Kingdom,2020-05-15,233151,3446,33614,428,3434.449,50.762,495.154,6.305,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,2.54,EU,Europe
Georgia,2020-05-15,667,20,12,1,167.202,5.013999999999999,3.008,0.251,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,5.3,55.5,2.6,AS,Asia
Guernsey,2020-05-15,252,0,13,0,0.467,0.0,0.0,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Ghana,2020-05-15,5530,122,24,0,177.968,3.926,0.772,0.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,0.9,AF,Africa
Gibraltar,2020-05-15,147,0,0,0,4363.183,0.0,0.0,0.0,33691.0,3457.1,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Guinea,2020-05-15,2473,99,14,0,188.30700000000002,7.537999999999999,1.0659999999999998,0.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,1.9,24.7,0.3,AF,Africa
Gambia,2020-05-15,23,0,1,0,9.517000000000001,0.0,0.414,0.0,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,0.7,31.2,1.1,AF,Africa
Guinea-Bissau,2020-05-15,913,93,3,0,463.923,47.256,1.524,0.0,1967998.0,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,1.9,24.7,0.7,AF,Africa
Equatorial Guinea,2020-05-15,594,72,7,1,423.38300000000004,51.318999999999996,4.989,0.713,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,1.9,24.7,2.1,AF,Africa
Greece,2020-05-15,2770,10,156,1,265.757,0.9590000000000001,14.967,0.096,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,4.21,EU,Europe
Grenada,2020-05-15,21,0,0,0,186.635,0.0,0.0,0.0,112519.0,317.132,29.4,7.303999999999999,5.021,13593.877,243.96400000000003,10.71,1.9,24.7,3.7,NA,North America
Greenland,2020-05-15,11,0,0,0,193.757,0.0,0.0,0.0,56772.0,0.13699999999999998,32.4,6.933,1.726,661.24,199.94099999999997,2.16,1.9,24.7,0.7,NA,North America
Guatemala,2020-05-15,1518,176,29,0,84.73100000000001,9.824,1.619,0.0,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,155.898,10.18,1.9,24.7,0.6,NA,North America
Guam,2020-05-15,154,2,5,0,912.414,11.85,29.624000000000002,0.0,168783.0,304.128,31.4,9.551,5.492999999999999,661.24,310.496,21.52,1.9,24.7,0.7,OC,Oceania
Guyana,2020-05-15,113,0,10,0,143.664,0.0,12.714,0.0,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,1.9,24.7,1.6,SA,South America
Honduras,2020-05-15,2318,63,133,10,234.032,6.361000000000001,13.427999999999999,1.01,9904608.0,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,24.7,0.7,NA,North America
Croatia,2020-05-15,2221,8,94,0,541.012,1.949,22.897,0.0,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,5.54,EU,Europe
Haiti,2020-05-15,273,39,20,2,23.941999999999997,3.42,1.754,0.175,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,2.9,23.1,0.7,NA,North America
Hungary,2020-05-15,3417,37,442,6,353.714,3.83,45.754,0.621,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,7.02,EU,Europe
Indonesia,2020-05-15,16006,568,1043,15,58.518,2.077,3.813,0.055,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,2.8,76.1,1.04,AS,Asia
Isle of Man,2020-05-15,332,0,23,0,3904.4120000000003,0.0,270.486,0.0,85032.0,147.872,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
India,2020-05-15,81970,3967,2649,100,59.398,2.875,1.92,0.07200000000000001,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,0.53,AS,Asia
Ireland,2020-05-15,23827,426,1506,9,4825.432,86.273,304.994,1.8230000000000002,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,2.96,EU,Europe
Iran,2020-05-15,114533,1808,6854,71,1363.602,21.526,81.602,0.845,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,1.5,AS,Asia
Iraq,2020-05-15,3143,111,115,0,78.14,2.76,2.859,0.0,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,1.9,24.7,1.4,AS,Asia
Iceland,2020-05-15,1802,0,10,0,5280.585999999999,0.0,29.304000000000002,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,2.91,EU,Europe
Israel,2020-05-15,16579,31,265,1,1915.42,3.582,30.616,0.11599999999999999,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,2.99,AS,Asia
Italy,2020-05-15,223096,992,31368,262,3689.865,16.407,518.807,4.333,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,3.18,EU,Europe
Jamaica,2020-05-15,509,0,9,0,171.892,0.0,3.0389999999999997,0.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,1.7,NA,North America
Jersey,2020-05-15,297,1,27,0,0.467,0.0,0.0,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Jordan,2020-05-15,586,4,9,0,57.433,0.392,0.882,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,1.9,24.7,1.4,AS,Asia
Japan,2020-05-15,16193,114,710,23,128.032,0.9009999999999999,5.614,0.182,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,13.05,AS,Asia
Kazakhstan,2020-05-15,5571,0,32,0,296.697,0.0,1.704,0.0,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,6.7,AS,Asia
Kenya,2020-05-15,758,21,42,2,14.097000000000001,0.391,0.7809999999999999,0.037000000000000005,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,1.2,20.4,1.4,AF,Africa
