location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name
Kyrgyzstan,2020-05-15,1111,29,14,2,170.28900000000002,4.445,2.146,0.307,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,436.36199999999997,7.11,3.6,50.5,4.5,AS,Asia
Cambodia,2020-05-15,122,0,0,0,7.297000000000001,0.0,0.0,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,270.892,4.0,2.0,33.7,0.8,AS,Asia
Saint Kitts and Nevis,2020-05-15,15,0,0,0,281.997,0.0,0.0,0.0,53192.0,212.865,32.4,6.933,1.726,24654.385,79.37,12.84,1.9,24.7,2.3,NA,North America
South Korea,2020-05-15,11018,27,260,0,214.905,0.527,5.071000000000001,0.0,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,85.99799999999999,6.8,6.2,40.9,12.27,AS,Asia
Kuwait,2020-05-15,11975,947,88,6,2804.08,221.75099999999998,20.605999999999998,1.405,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,132.235,15.84,2.7,37.0,2.0,AS,Asia
Laos,2020-05-15,19,0,0,0,2.611,0.0,0.0,0.0,7275556.0,29.715,24.4,4.029,2.322,6397.36,368.111,4.0,7.3,51.2,1.5,AS,Asia
Lebanon,2020-05-15,886,8,26,0,129.808,1.172,3.8089999999999997,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,2.9,AS,Asia
Liberia,2020-05-15,215,2,20,0,42.51,0.395,3.9539999999999997,0.0,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,272.509,2.42,1.5,18.1,0.8,AF,Africa
Libya,2020-05-15,64,0,3,0,9.314,0.0,0.43700000000000006,0.0,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,341.86199999999997,10.43,1.9,24.7,3.7,AF,Africa
Saint Lucia,2020-05-15,18,0,0,0,98.024,0.0,0.0,0.0,183629.0,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,1.9,24.7,1.3,NA,North America
Liechtenstein,2020-05-15,83,0,1,0,2176.364,0.0,26.221,0.0,38137.0,237.012,32.4,6.933,1.726,661.24,79.37,7.77,1.9,24.7,2.397,EU,Europe
Sri Lanka,2020-05-15,925,10,9,0,43.198,0.467,0.42,0.0,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,197.093,10.68,0.3,27.0,3.6,AS,Asia
Lesotho,2020-05-15,1,1,0,0,0.467,0.467,0.0,0.0,2142252.0,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,0.4,53.9,0.7,AF,Africa
Lithuania,2020-05-15,1511,6,54,0,555.047,2.204,19.836,0.0,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,342.98900000000003,3.67,21.3,38.0,6.56,EU,Europe
Luxembourg,2020-05-15,3915,11,103,0,6254.233,17.573,164.543,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,128.275,4.42,20.9,26.0,4.51,EU,Europe
Latvia,2020-05-15,962,11,19,0,510.02,5.832000000000001,10.073,0.0,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,5.57,EU,Europe
Morocco,2020-05-15,6607,95,190,2,179.0,2.574,5.148,0.054000000000000006,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,419.14599999999996,7.14,0.8,47.1,1.1,AF,Africa
Monaco,2020-05-15,96,0,4,0,2446.234,0.0,101.926,0.0,39244.0,19347.5,32.4,6.933,1.726,661.24,79.37,5.46,1.9,24.7,13.8,EU,Europe
Moldova,2020-05-15,5553,147,194,9,1376.5620000000001,36.441,48.092,2.231,4033963.0,123.655,37.6,10.864,6.955,5189.972,408.50199999999995,5.72,5.9,44.6,5.8,EU,Europe
Madagascar,2020-05-15,230,18,0,0,8.306000000000001,0.65,0.0,0.0,27691019.0,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,1.9,24.7,0.2,AF,Africa
Maldives,2020-05-15,982,27,4,0,1816.695,49.95,7.4,0.0,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,164.905,9.19,2.1,55.0,0.7,AS,Asia
Mexico,2020-05-15,42595,2409,4477,257,330.366,18.684,34.724000000000004,1.993,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,152.783,13.06,6.9,21.4,1.38,NA,North America
Macedonia,2020-05-15,1723,29,95,0,827.0210000000001,13.92,45.599,0.0,2083380.0,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,1.9,24.7,4.28,EU,Europe
Mali,2020-05-15,779,21,46,2,38.468,1.037,2.272,0.099,20250834.0,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,1.6,23.0,0.1,AF,Africa
Malta,2020-05-15,522,14,6,0,1182.229,31.706999999999997,13.589,0.0,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,168.71099999999998,8.83,20.9,30.2,4.485,EU,Europe
Myanmar,2020-05-15,181,0,6,0,3.327,0.0,0.11,0.0,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,0.9,AS,Asia
Montenegro,2020-05-15,324,0,9,0,515.873,0.0,14.33,0.0,628062.0,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,44.0,47.9,3.861,EU,Europe
Mongolia,2020-05-15,61,0,0,0,18.607,0.0,0.0,0.0,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,460.043,4.82,5.5,46.5,7.0,AS,Asia
Northern Mariana Islands,2020-05-15,19,0,2,0,330.108,0.0,34.748000000000005,0.0,57557.0,119.87799999999999,32.4,6.933,1.726,661.24,194.99400000000003,2.42,1.9,24.7,0.7,OC,Oceania
Mozambique,2020-05-15,115,8,0,0,3.679,0.256,0.0,0.0,31255435.0,37.728,17.7,3.158,1.87,1136.103,329.94199999999995,3.3,5.1,29.1,0.7,AF,Africa
Mauritania,2020-05-15,16,7,2,0,3.4410000000000003,1.505,0.43,0.0,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,232.347,2.42,1.9,24.7,0.7,AF,Africa
Montserrat,2020-05-15,11,0,1,0,2200.44,0.0,200.04,0.0,4999.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,NA,North America
Mauritius,2020-05-15,332,0,10,0,261.05400000000003,0.0,7.8629999999999995,0.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,224.644,22.02,3.2,40.7,3.4,AF,Africa
Malawi,2020-05-15,63,0,3,0,3.293,0.0,0.157,0.0,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,227.34900000000002,3.94,4.4,24.7,1.3,AF,Africa
Malaysia,2020-05-15,6819,40,112,1,210.68400000000003,1.236,3.46,0.031,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,260.942,16.74,1.0,42.4,1.9,AS,Asia
Namibia,2020-05-15,16,0,0,0,6.297000000000001,0.0,0.0,0.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,243.81099999999998,3.94,9.7,34.2,0.7,AF,Africa
New Caledonia,2020-05-15,18,0,0,0,63.049,0.0,0.0,0.0,285491.0,15.342,33.4,9.954,6.489,661.24,79.37,23.36,1.9,24.7,0.7,OC,Oceania
Niger,2020-05-15,876,16,50,1,36.188,0.6609999999999999,2.066,0.040999999999999995,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,238.33900000000003,2.42,0.1,15.4,0.3,AF,Africa
Nigeria,2020-05-15,5162,191,167,3,25.041,0.927,0.81,0.015,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,181.013,2.42,0.6,10.8,0.7,AF,Africa
Nicaragua,2020-05-15,25,0,8,0,3.7739999999999996,0.0,1.208,0.0,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,137.016,11.47,1.9,24.7,0.9,NA,North America
Netherlands,2020-05-15,43481,270,5590,28,2537.574,15.757,326.235,1.6340000000000001,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,109.361,5.29,24.4,27.3,3.32,EU,Europe
Norway,2020-05-15,8175,17,232,3,1507.957,3.136,42.795,0.5529999999999999,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,114.316,5.31,19.6,20.7,3.6,EU,Europe
Nepal,2020-05-15,258,39,0,0,8.855,1.339,0.0,0.0,29136808.0,204.43,25.0,5.809,3.2119999999999997,2442.804,260.797,7.26,9.5,37.8,0.3,AS,Asia
New Zealand,2020-05-15,1148,1,21,0,238.06400000000002,0.207,4.355,0.0,4822233.0,18.206,37.9,15.322000000000001,9.72,36085.843,128.797,8.08,14.8,17.2,2.61,OC,Oceania
Oman,2020-05-15,4341,322,19,2,850.073,63.055,3.721,0.392,5106622.0,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,1.6,AS,Asia
Pakistan,2020-05-15,37218,1430,803,33,168.489,6.474,3.635,0.149,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,0.6,AS,Asia
Panama,2020-05-15,9118,174,260,4,2113.2070000000003,40.327,60.258,0.927,4314768.0,55.133,29.7,7.917999999999999,5.03,22267.037,128.346,8.33,2.4,9.9,2.3,NA,North America
Peru,2020-05-15,80604,4298,2267,98,2444.631,130.35399999999998,68.756,2.972,32971846.0,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,4.8,24.7,1.6,SA,South America
Philippines,2020-05-15,11876,258,790,18,108.376,2.354,7.209,0.16399999999999998,109581085.0,351.87300000000005,25.2,4.803,2.661,7599.188,370.43699999999995,7.07,7.8,40.8,1.0,AS,Asia
Papua New Guinea,2020-05-15,8,0,0,0,0.894,0.0,0.0,0.0,8947027.0,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,561.494,17.65,23.5,48.8,0.7,OC,Oceania
Poland,2020-05-15,17615,411,883,22,465.431,10.86,23.331,0.581,37846605.0,124.027,41.8,16.762999999999998,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,EU,Europe
Puerto Rico,2020-05-15,2427,98,117,2,848.352,34.256,40.897,0.6990000000000001,2860840.0,376.23199999999997,38.2,15.168,9.829,35044.67,108.094,12.9,1.9,24.7,0.7,NA,North America
Portugal,2020-05-15,28319,187,1184,9,2777.2690000000002,18.339000000000002,116.116,0.883,10196707.0,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,127.84200000000001,9.85,16.3,30.0,3.39,EU,Europe
Paraguay,2020-05-15,754,14,11,0,105.713,1.963,1.5419999999999998,0.0,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,199.128,8.27,5.0,21.6,1.3,SA,South America
Palestine,2020-05-15,548,0,4,0,107.421,0.0,0.784,0.0,5101416.0,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,1.9,24.7,0.7,AS,Asia
French Polynesia,2020-05-15,60,0,0,0,213.59599999999998,0.0,0.0,0.0,280904.0,77.324,32.7,7.775,4.593,661.24,79.37,22.63,1.9,24.7,0.7,OC,Oceania
Qatar,2020-05-15,28272,1733,14,0,9813.055,601.515,4.859,0.0,2881060.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,1.2,AS,Asia
Kosovo,2020-05-15,944,25,29,0,488.417,12.935,15.004000000000001,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,SA,South America
Romania,2020-05-15,16247,245,1046,30,844.54,12.735,54.372,1.5590000000000002,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,370.94599999999997,9.74,22.9,37.1,6.892,EU,Europe
Russia,2020-05-15,252245,9974,2305,93,1728.481,68.346,15.795,0.637,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,431.29699999999997,6.18,23.4,58.3,8.05,EU,Europe
Rwanda,2020-05-15,287,0,0,0,22.158,0.0,0.0,0.0,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,191.375,4.28,4.7,21.0,0.7,AF,Africa
Saudi Arabia,2020-05-15,46869,2039,283,10,1346.274,58.568999999999996,8.129,0.287,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,259.538,17.72,1.8,25.4,2.7,AS,Asia
Sudan,2020-05-15,1964,146,91,1,44.79,3.33,2.075,0.023,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,431.38800000000003,15.67,1.9,24.7,0.8,AF,Africa
Senegal,2020-05-15,2189,84,23,1,130.734,5.0169999999999995,1.374,0.06,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,241.21900000000002,2.42,0.4,16.6,0.7,AF,Africa
Singapore,2020-05-15,26098,752,21,0,4460.935,128.539,3.59,0.0,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,92.243,10.99,5.2,28.3,2.4,AS,Asia
Sierra Leone,2020-05-15,408,21,26,5,51.147,2.633,3.259,0.627,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,325.721,2.42,8.8,41.3,0.7,AF,Africa
El Salvador,2020-05-15,1210,98,23,3,186.55,15.109000000000002,3.5460000000000003,0.46299999999999997,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,167.295,8.87,2.5,18.8,1.3,NA,North America
San Marino,2020-05-15,648,5,41,0,19093.641,147.327,1208.085,0.0,33938.0,556.6669999999999,32.4,6.933,1.726,56861.47,79.37,5.64,1.9,24.7,3.8,EU,Europe
Somalia,2020-05-15,1284,65,53,1,80.789,4.09,3.335,0.063,15893219.0,23.5,16.8,2.7310000000000003,1.496,661.24,365.769,6.05,1.9,24.7,0.9,AF,Africa
Serbia,2020-05-15,10374,79,224,2,1524.558,11.61,32.919000000000004,0.294,6804596.0,80.291,41.2,17.366,1.726,14048.881000000001,439.415,10.08,37.7,40.2,5.609,EU,Europe
South Sudan,2020-05-15,231,28,1,1,20.636999999999997,2.501,0.08900000000000001,0.08900000000000001,11193729.0,0.13699999999999998,19.2,3.4410000000000003,2.032,1569.888,280.775,10.43,1.9,24.7,0.7,AF,Africa
Sao Tome and Principe,2020-05-15,235,0,7,0,1072.271,0.0,31.94,0.0,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,270.113,2.42,1.9,24.7,2.9,AF,Africa
Suriname,2020-05-15,10,0,1,0,17.046,0.0,1.705,0.0,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,258.314,12.54,7.4,42.9,3.1,SA,South America
Slovakia,2020-05-15,1477,8,27,0,270.531,1.465,4.945,0.0,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,287.959,7.29,23.1,37.7,5.82,EU,Europe
Slovenia,2020-05-15,1464,1,103,0,704.2080000000001,0.48100000000000004,49.545,0.0,2078932.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25.0,4.5,EU,Europe
Sweden,2020-05-15,28582,673,3529,69,2830.1059999999998,66.638,349.431,6.832000000000001,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,133.982,4.79,18.8,18.9,2.22,EU,Europe
Swaziland,2020-05-15,187,0,2,0,161.184,0.0,1.724,0.0,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,333.436,3.94,1.7,16.5,2.1,AF,Africa
Sint Maarten (Dutch part),2020-05-15,77,0,15,0,1795.625,0.0,349.79699999999997,0.0,42882.0,1209.088,32.4,6.933,1.726,36327.232,79.37,2.42,1.9,24.7,0.7,SA,South America
Seychelles,2020-05-15,11,0,0,0,111.85700000000001,0.0,0.0,0.0,98340.0,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,7.1,35.7,3.6,AF,Africa
Syria,2020-05-15,48,0,3,0,2.7430000000000003,0.0,0.171,0.0,17500657.0,0.13699999999999998,21.7,6.933,2.577,661.24,376.264,2.42,1.9,24.7,1.5,AS,Asia
Turks and Caicos Islands,2020-05-15,12,0,1,0,309.933,0.0,25.828000000000003,0.0,38718.0,37.312,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,NA,North America
Chad,2020-05-15,399,27,46,4,24.291,1.6440000000000001,2.8,0.244,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,280.995,6.1,1.9,24.7,0.7,AF,Africa
Togo,2020-05-15,238,19,11,0,28.748,2.295,1.329,0.0,8278737.0,143.366,19.4,2.839,1.525,1429.8129999999999,280.033,6.15,0.9,14.2,0.7,AF,Africa
Thailand,2020-05-15,3018,1,56,0,43.238,0.013999999999999999,0.802,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,2.1,AS,Asia
Tajikistan,2020-05-15,907,106,29,6,95.09700000000001,11.114,3.0410000000000004,0.629,9537642.0,64.281,23.3,3.466,2.155,2896.913,427.69800000000004,7.11,1.9,24.7,4.8,AS,Asia
Indonesia,2020-05-15,24,0,0,0,18.203,0.0,0.0,0.0,1318442.0,87.176,18.0,3.556,1.8969999999999998,6570.102,335.346,6.86,6.3,78.1,5.9,AS,Asia
Trinidad and Tobago,2020-05-15,116,0,8,0,82.887,0.0,5.716,0.0,1399491.0,266.88599999999997,36.2,10.014,5.819,28763.071,228.467,10.97,1.9,24.7,3.0,NA,North America
Tunisia,2020-05-15,1032,0,45,0,87.32,0.0,3.8080000000000003,0.0,11818618.0,74.22800000000001,32.7,8.001,5.075,10849.296999999999,318.991,8.52,1.1,65.8,2.3,AF,Africa
Turkey,2020-05-15,144749,1635,4007,55,1716.275,19.386,47.511,0.652,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,171.285,12.13,14.1,41.1,2.81,AS,Asia
Taiwan,2020-05-15,440,0,7,0,18.474,0.0,0.294,0.0,23816775.0,0.13699999999999998,42.2,6.933,8.353,661.24,103.95700000000001,2.42,1.9,24.7,0.7,AS,Asia
Tanzania,2020-05-15,509,0,21,0,8.521,0.0,0.35200000000000004,0.0,59734213.0,64.699,17.7,3.108,1.874,2683.304,217.28799999999998,5.75,3.3,26.7,0.7,AF,Africa
Uganda,2020-05-15,160,21,0,0,3.498,0.45899999999999996,0.0,0.0,45741000.0,213.75900000000001,16.4,2.168,1.308,1697.707,213.333,2.5,3.4,16.7,0.5,AF,Africa
Ukraine,2020-05-15,16847,422,456,17,385.217,9.649,10.427,0.389,43733759.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,8.8,EU,Europe
Uruguay,2020-05-15,724,5,19,0,208.422,1.439,5.47,0.0,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,160.708,6.93,14.0,19.9,2.8,SA,South America
United States,2020-05-15,1417889,27143,85906,1773,4283.6179999999995,82.00200000000001,259.533,5.356,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,19.1,24.6,2.77,NA,North America
Uzbekistan,2020-05-15,2645,33,11,0,79.028,0.986,0.32899999999999996,0.0,33469199.0,76.134,28.2,4.468999999999999,2.873,6253.104,724.4169999999999,7.57,1.3,24.7,4.0,AS,Asia
Vatican,2020-05-15,12,0,0,0,14833.127,0.0,0.0,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,SA,South America
Saint Vincent and the Grenadines,2020-05-15,17,0,0,0,153.226,0.0,0.0,0.0,110947.0,281.78700000000003,31.8,7.724,4.832,10727.146,252.675,11.62,1.9,24.7,2.6,NA,North America
Venezuela,2020-05-15,455,15,10,0,16.000999999999998,0.528,0.35200000000000004,0.0,28435943.0,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,1.9,24.7,0.8,SA,South America
British Virgin Islands,2020-05-15,8,1,1,0,264.577,33.071999999999996,33.071999999999996,0.0,30237.0,207.97299999999998,32.4,6.933,1.726,661.24,79.37,13.67,1.9,24.7,0.7,NA,North America
United States Virgin Islands,2020-05-15,69,0,6,0,660.7739999999999,0.0,57.458999999999996,0.0,104423.0,306.48,42.2,18.601,10.799000000000001,661.24,273.67,12.26,1.9,24.7,0.7,NA,North America
Vietnam,2020-05-15,312,24,0,0,3.205,0.247,0.0,0.0,97338583.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,2.6,AS,Asia
Yemen,2020-05-15,87,17,13,1,2.917,0.57,0.436,0.034,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,495.00300000000004,5.35,7.6,29.2,0.7,AS,Asia
South Africa,2020-05-15,12739,665,238,19,214.791,11.213,4.013,0.32,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,200.38,5.52,8.1,33.2,2.32,AF,Africa
Zambia,2020-05-15,654,208,7,0,35.574,11.314,0.381,0.0,18383956.0,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,234.49900000000002,3.94,3.1,24.7,2.0,AF,Africa
Zimbabwe,2020-05-15,37,0,4,0,2.489,0.0,0.26899999999999996,0.0,14862927.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,1.7,AF,Africa
